有價證券代號,有價證券名稱,市場別,產業別,公開發行/上市(櫃)/發行日
2482,連宇,上市,其他電子業,2001/09/17
2483,百容,上市,電子零組件業,2001/09/17
2484,希華,上市,電子零組件業,2001/09/17
2485,兆赫,上市,通信網路業,2001/09/17
2486,一詮,上市,光電業,2001/09/19
2488,漢平,上市,其他電子業,2001/09/17
2489,瑞軒,上市,光電業,2001/09/17
2491,吉祥全,上市,光電業,2001/09/17
2492,華新科,上市,電子零組件業,2001/09/17
2493,揚博,上市,電子零組件業,2002/01/23
2495,普安,上市,其他電子業,2002/03/25
2496,卓越,上市,其他業,2002/03/08
2497,怡利電,上市,汽車工業,2002/02/04
2498,宏達電,上市,通信網路業,2002/03/26
2501,國建,上市,建材營造業,1967/10/28
2504,國產,上市,建材營造業,1978/03/14
2505,國揚,上市,建材營造業,1979/11/14
2506,太設,上市,建材營造業,1980/02/02
2509,全坤建,上市,建材營造業,1988/05/20
2511,太子,上市,建材營造業,1991/04/24
2514,龍邦,上市,其他業,1992/09/26
2515,中工,上市,建材營造業,1993/03/02
2516,新建,上市,建材營造業,1993/05/25
2520,冠德,上市,建材營造業,1993/10/27
2524,京城,上市,建材營造業,1994/10/18
2527,宏璟,上市,建材營造業,1995/03/06
2528,皇普,上市,建材營造業,1995/03/10
2530,華建,上市,建材營造業,1995/10/12
2534,宏盛,上市,建材營造業,1996/02/12
2535,達欣工,上市,建材營造業,1996/03/11
2536,宏普,上市,建材營造業,1996/03/14
2537,聯上發,上市,建材營造業,1996/09/06
2538,基泰,上市,建材營造業,1996/11/01
2539,櫻花建,上市,建材營造業,1997/07/16
2540,愛山林,上市,建材營造業,1989/12/26
2542,興富發,上市,建材營造業,1999/05/03
2543,皇昌,上市,建材營造業,1999/10/15
2545,皇翔,上市,建材營造業,2000/09/11
2546,根基,上市,建材營造業,2000/09/11
2547,日勝生,上市,建材營造業,2000/12/22
2548,華固,上市,建材營造業,2002/08/26
2597,潤弘,上市,建材營造業,2010/03/26
2601,益航,上市,貿易百貨業,1965/11/04
2603,長榮,上市,航運業,1987/09/21
2605,新興,上市,航運業,1989/12/08
2606,裕民,上市,航運業,1990/12/08
2607,榮運,上市,航運業,1990/12/14
2608,嘉里大榮,上市,航運業,1990/12/20
2609,陽明,上市,航運業,1992/04/20
2610,華航,上市,航運業,1993/02/26
2611,志信,上市,航運業,1993/10/28
2612,中航,上市,航運業,1994/10/20
2613,中櫃,上市,航運業,1995/01/20
2614,東森,上市,貿易百貨業,1995/09/23
2615,萬海,上市,航運業,1996/05/16
2616,山隆,上市,油電燃氣業,1997/11/08
2617,台航,上市,航運業,1998/06/24
2618,長榮航,上市,航運業,2001/09/17
2630,亞航,上市,航運業,2018/02/22
2633,台灣高鐵,上市,航運業,2016/10/27
2634,漢翔,上市,航運業,2014/08/25
2636,台驊投控,上市,航運業,2016/12/22
2637,慧洋-KY,上市,航運業,2010/12/01
2642,宅配通,上市,航運業,2013/12/12
2701,萬企,上市,觀光事業,1965/03/22
2702,華園,上市,觀光事業,1965/02/14
2704,國賓,上市,觀光事業,1982/11/10
2705,六福,上市,觀光事業,1988/12/24
2706,第一店,上市,觀光事業,1991/06/25
2707,晶華,上市,觀光事業,1998/03/09
2712,遠雄來,上市,觀光事業,2013/12/03
2722,夏都,上市,觀光事業,2012/03/14
2723,美食-KY,上市,觀光事業,2010/11/22
2727,王品,上市,觀光事業,2012/03/06
2731,雄獅,上市,觀光事業,2013/09/24
2739,寒舍,上市,觀光事業,2016/05/19
2748,雲品,上市,觀光事業,2016/11/23
2801,彰銀,上市,金融保險業,1962/02/15
2809,京城銀,上市,金融保險業,1983/07/20
2812,台中銀,上市,金融保險業,1984/05/15
2816,旺旺保,上市,金融保險業,1992/05/05
2820,華票,上市,金融保險業,1994/10/26
2823,中壽,上市,金融保險業,1995/02/08
2832,台產,上市,金融保險業,1997/09/30
2834,臺企銀,上市,金融保險業,1998/01/03
2836,高雄銀,上市,金融保險業,1998/05/18
2838,聯邦銀,上市,金融保險業,1998/06/29
2841,台開,上市,建材營造業,1999/01/08
2845,遠東銀,上市,金融保險業,1998/11/27
2849,安泰銀,上市,金融保險業,1999/09/27
